origin_id,destination_id,trips
E02001683,E02001780,1
E02001683,E02001781,2
E02001683,E02001782,5
E02001683,E02001783,1
E02001683,E02001784,1
E02001683,E02001787,3
E02001683,E02001788,6
E02001683,E02001790,4
E02001683,E02001793,2
E02001683,E02001795,7
E02001683,E02001796,1
E02001683,E02001797,36
E02001683,E02001798,15
E02001683,E02001799,5
E02001683,E02001800,7
E02001683,E02001801,2
E02001683,E02001802,2
E02001683,E02001803,10
E02001683,E02001804,1
E02001683,E02001805,3
E02001683,E02001806,4
E02001683,E02001807,11
E02001683,E02001809,5
E02001683,E02001810,2
E02001683,E02001811,1
E02001683,E02001812,2
E02001683,E02001813,1
E02001683,E02001814,1
E02001683,E02001815,5
E02001683,E02001816,1
E02001683,E02001817,1
E02001683,E02001818,1
E02001683,E02001819,6
E02001683,E02001820,5
E02001683,E02001822,2
E02001683,E02001824,1
E02001683,E02001825,9
E02001683,E02001826,2
E02001683,E02006841,155
E02001683,E02006842,15
E02001683,E02006893,9
E02001684,E02001682,3
E02001684,E02001683,5
E02001684,E02001684,305
E02001684,E02001686,20
E02001684,E02001688,181
E02001684,E02001689,30
E02001684,E02001690,72
E02001684,E02001691,3
E02001684,E02001692,7
E02001684,E02001693,49
E02001684,E02001694,12
E02001684,E02001695,27
E02001684,E02001696,29
E02001684,E02001697,94
E02001684,E02001698,3
E02001684,E02001699,10
E02001684,E02001700,11
E02001684,E02001701,23
E02001684,E02001702,6
E02001684,E02001703,1
E02001684,E02001704,7
E02001684,E02001705,9
E02001684,E02001706,39
E02001684,E02001707,24
E02001684,E02001708,14
E02001684,E02001709,9
E02001684,E02001710,5
E02001684,E02001711,13
E02001684,E02001712,14
E02001684,E02001713,41
E02001684,E02001714,37
E02001684,E02001715,5
E02001684,E02001718,1
E02001684,E02001720,4
E02001684,E02001721,10
E02001684,E02001723,1
E02001684,E02001724,12
E02001684,E02001725,7
E02001684,E02001726,10
E02001684,E02001727,1
E02001684,E02001728,10
E02001684,E02001729,11
E02001684,E02001730,62
E02001684,E02001731,356
E02001684,E02001732,5
E02001684,E02001733,29
E02001684,E02001734,17
E02001684,E02001735,2
E02001684,E02001736,50
E02001684,E02001737,6
E02001684,E02001739,1
E02001684,E02001741,2
E02001684,E02001743,4
E02001684,E02001745,7
E02001684,E02001746,2
E02001684,E02001748,11
E02001684,E02001750,4
E02001684,E02001751,1
E02001684,E02001752,26
E02001684,E02001753,1
E02001684,E02001755,13
E02001684,E02001756,30
E02001684,E02001757,1
E02001684,E02001758,2
E02001684,E02001759,6
E02001684,E02001760,5
E02001684,E02001761,1
E02001684,E02001764,2
E02001684,E02001765,7
E02001684,E02001766,5
E02001684,E02001767,5
E02001684,E02001768,11
E02001684,E02001769,27
E02001684,E02001770,1
E02001684,E02001771,2
E02001684,E02001772,8
E02001684,E02001773,1
E02001684,E02001774,30
E02001684,E02001775,1
E02001684,E02001776,28
E02001684,E02001777,21
E02001684,E02001778,7
E02001684,E02001779,15
E02001684,E02001781,1
E02001684,E02001782,23
E02001684,E02001783,2
E02001684,E02001784,2
E02001684,E02001787,7
E02001684,E02001788,6
E02001684,E02001789,1
E02001684,E02001790,7
E02001684,E02001791,3
E02001684,E02001793,1
E02001684,E02001795,19
E02001684,E02001796,2
E02001684,E02001797,40
E02001684,E02001798,9
E02001684,E02001799,18
E02001684,E02001800,17
E02001684,E02001801,8
E02001684,E02001802,2
E02001684,E02001803,20
E02001684,E02001805,4
E02001684,E02001806,3
E02001684,E02001807,32
E02001684,E02001808,4
E02001684,E02001809,14
E02001684,E02001810,10
E02001684,E02001811,7
E02001684,E02001812,1
E02001684,E02001813,2
E02001684,E02001815,5
E02001684,E02001817,3
E02001684,E02001819,16
E02001684,E02001820,2
E02001684,E02001821,1
E02001684,E02001823,1
E02001684,E02001824,2
E02001684,E02001825,11
E02001684,E02001826,2
E02001684,E02006841,197
E02001684,E02006842,20
E02001685,E02001682,70
E02001685,E02001683,26
E02001685,E02001684,33
E02001685,E02001685,179
E02001685,E02001686,376
E02001685,E02001688,202
E02001685,E02001689,21
E02001685,E02001690,302
E02001685,E02001691,10
E02001685,E02001692,3
E02001685,E02001693,4
E02001685,E02001694,18
E02001685,E02001695,6
E02001685,E02001696,5
E02001685,E02001697,39
E02001685,E02001698,32
E02001685,E02001699,7
E02001685,E02001700,18
E02001685,E02001701,16
E02001685,E02001702,3
E02001685,E02001703,17
E02001685,E02001704,4
E02001685,E02001705,21
E02001685,E02001706,26
E02001685,E02001707,21
E02001685,E02001708,23
E02001685,E02001709,8
E02001685,E02001710,12
E02001685,E02001711,25
E02001685,E02001712,17
E02001685,E02001713,61
E02001685,E02001714,40
E02001685,E02001715,16
E02001685,E02001718,6
E02001685,E02001719,5
E02001685,E02001720,6
E02001685,E02001721,28
E02001685,E02001722,2
E02001685,E02001723,4
E02001685,E02001724,8
E02001685,E02001725,8
E02001685,E02001726,13
E02001685,E02001727,5
E02001685,E02001728,34
E02001685,E02001729,12
E02001685,E02001730,36
E02001685,E02001731,295
E02001685,E02001732,19
E02001685,E02001733,25
E02001685,E02001734,19
E02001685,E02001736,74
E02001685,E02001737,12
E02001685,E02001739,2
E02001685,E02001741,5
E02001685,E02001743,2
E02001685,E02001745,16
E02001685,E02001746,1
E02001685,E02001748,3
E02001685,E02001751,2
E02001685,E02001752,26
E02001685,E02001753,1
E02001685,E02001755,13
E02001685,E02001756,47
